Product,Cancel_Qty,Cancel_Orders,Valid_Qty,Cancel_Rate
BLUE DINER WALL CLOCK,21.0,7.0,907.0,2.2604951560818085
"TRAY, BREAKFAST IN BED",6.0,6.0,259.0,2.2556390977443606
BALLOON PUMP WITH 10 BALLOONS,18.0,2.0,779.0,2.2556390977443606
DECORATION WOBBLY CHICKEN,12.0,1.0,521.0,2.247191011235955
BISCUIT TIN VINTAGE GREEN,10.0,8.0,434.0,2.247191011235955
"KEY FOB , GARAGE DESIGN",43.0,4.0,1872.0,2.2442588726513573
PANTRY PASTRY BRUSH,24.0,2.0,1045.0,2.2429906542056073
FRENCH KITCHEN SIGN BLUE METAL,27.0,3.0,1176.0,2.2425249169435215
SET OF 2 CHRISTMAS DECOUPAGE CANDLE,24.0,1.0,1048.0,2.2367194780987885
PINK  HONEYCOMB PAPER FAN,10.0,3.0,437.0,2.232142857142857
BUTTERFLIES STICKERS,12.0,1.0,525.0,2.2304832713754648
CITRONELLA CANDLE FLOWERPOT,16.0,5.0,701.0,2.2284122562674096
GARDENIA 3 WICK MORRIS BOXED CANDLE,6.0,3.0,263.0,2.2222222222222223
GYMKHANA TREASURE BOOK BOX,37.0,8.0,1634.0,2.2129186602870816
JUMBO BAG PINK POLKADOT,456.0,13.0,20165.0,2.2112307244690137
JUMBO BAG VINTAGE LEAF,242.0,6.0,10716.0,2.2082306779815677
3 TRADITIONAl BISCUIT CUTTERS  SET,26.0,4.0,1156.0,2.197802197802198
JUMBO BAG PINK VINTAGE PAISLEY,222.0,12.0,9889.0,2.195411392405063
CERAMIC CAKE DESIGN SPOTTED PLATE,17.0,6.0,757.0,2.193548387096774
ROUND CAKE TIN VINTAGE RED,20.0,15.0,891.0,2.1929824561403506
PINK DOUGHNUT TRINKET POT ,36.0,14.0,1608.0,2.188449848024316
STORAGE TIN VINTAGE DOILY ,28.0,12.0,1251.0,2.1875
BISCUIT TIN 50'S CHRISTMAS,46.0,5.0,2060.0,2.183198860939725
GREEN REGENCY TEACUP AND SAUCER,143.0,42.0,6430.0,2.175235777304533
BLACK BAROQUE WALL CLOCK ,1.0,1.0,44.0,2.1739130434782608
GLASS JAR DAISY FRESH COTTON WOOL,12.0,6.0,539.0,2.1739130434782608
PINK HORSE SOCK PUPPET KIT,1.0,1.0,44.0,2.1739130434782608
BLUE SCOTTIE DOG W FLOWER PATTERN,3.0,1.0,134.0,2.1739130434782608
SET OF 3 CAKE TINS PANTRY DESIGN ,156.0,72.0,7020.0,2.1736101435140034
YELLOW COAT RACK PARIS FASHION,6.0,2.0,270.0,2.166064981949458
DRAWER KNOB CRACKLE GLAZE IVORY,46.0,11.0,2084.0,2.1586109807602063
WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200.0,5.0,54415.0,2.15765247410817
DRAWER KNOB CRACKLE GLAZE GREEN,28.0,8.0,1272.0,2.1521906225980016
JAM MAKING SET PRINTED,331.0,12.0,15055.0,2.1511665691817767
TALL ROCOCO CANDLE HOLDER,2.0,1.0,90.0,2.1505376344086025
JUMBO  BAG BAROQUE BLACK WHITE,281.0,14.0,12793.0,2.1491395793499044
WOODLAND STORAGE BOX LARGE ,5.0,5.0,227.0,2.1459227467811157
TRAVEL CARD WALLET SUKI,49.0,3.0,2236.0,2.1434820647419075
CREAM CUPID HEARTS COAT HANGER,42.0,6.0,1918.0,2.1417644059153496
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,28.0,10.0,1280.0,2.13903743315508
STAR DECORATION RUSTIC,48.0,1.0,2203.0,2.1314387211367674
LARGE WHITE HEART OF WICKER,63.0,10.0,2908.0,2.11978465679677
RETROSPOT WOODEN HEART DECORATION,40.0,2.0,1852.0,2.1130480718436346
CLASSICAL ROSE SMALL VASE,3.0,2.0,138.0,2.112676056338028
GUMBALL MONOCHROME COAT RACK,10.0,4.0,463.0,2.109704641350211
ABC TREASURE BOOK BOX ,45.0,10.0,2090.0,2.106741573033708
SET/6 COLLAGE PAPER PLATES,36.0,3.0,1672.0,2.1064950263311877
BULL DOG BOTTLE TOP WALL CLOCK,4.0,4.0,185.0,2.1052631578947367
ANTIQUE GLASS PEDESTAL BOWL,19.0,11.0,890.0,2.0879120879120876
WAKE UP COCKEREL TILE HOOK,1.0,1.0,46.0,2.083333333333333
FLYING PIG WATERING CAN,4.0,1.0,187.0,2.083333333333333
STRAWBERRY CERAMIC TRINKET POT,22.0,5.0,1038.0,2.0735155513666355
60 CAKE CASES VINTAGE CHRISTMAS,312.0,4.0,14735.0,2.073365231259968
WOOD S/3 CABINET ANT WHITE FINISH,29.0,16.0,1370.0,2.071428571428571
SET OF 3 HANGING OWLS OLLIE BEAK,77.0,4.0,3642.0,2.0698924731182795
WHITE BAMBOO RIBS LAMPSHADE,19.0,6.0,902.0,2.0607375271149677
PIGGY BANK RETROSPOT ,55.0,23.0,2619.0,2.0560747663551404
PARTY INVITES DINOSAURS,12.0,1.0,573.0,2.04778156996587
PANTRY MAGNETIC  SHOPPING LIST,64.0,14.0,3067.0,2.0434227330779056
WHITE HANGING BEADS CANDLE HOLDER,5.0,2.0,239.0,2.0408163265306123
FRENCH BLUE METAL DOOR SIGN 8,12.0,2.0,575.0,2.0408163265306123
BLUE DRAGONFLY HELICOPTER,1.0,1.0,47.0,2.0408163265306123
FRYING PAN RED RETROSPOT,8.0,2.0,383.0,2.0408163265306123
VINTAGE LEAF CHOPPING BOARD  ,3.0,2.0,144.0,2.027027027027027
PLASTERS IN TIN SKULLS,84.0,7.0,4060.0,2.0265379975874547
BLACK LOVE BIRD T-LIGHT HOLDER,3.0,1.0,145.0,2.013422818791946
ENAMEL FLOWER JUG CREAM,41.0,12.0,1995.0,2.0127638684339715
CLASSIC CAFE SUGAR DISPENSER,54.0,18.0,2634.0,2.008181480104128
RECIPE BOX PANTRY YELLOW DESIGN,151.0,47.0,7373.0,2.006644518272425
NEW BAROQUE JEWELLERY BOX ,1.0,1.0,48.0,2.0
PINK PAISLEY ROSE GIFT WRAP,25.0,1.0,1225.0,1.9984012789768184
PAPER BUNTING WHITE LACE,76.0,8.0,3779.0,1.970954356846473
CHILDREN'S SPACEBOY MUG,34.0,8.0,1691.0,1.9698725376593278
FELTCRAFT GIRL NICOLE KIT,13.0,3.0,646.0,1.9696969696969695
CURIOUS IMAGES GIFT WRAP SET,12.0,1.0,597.0,1.9672131147540985
SET OF 6 T-LIGHTS SANTA,24.0,2.0,1198.0,1.9623875715453802
VICTORIAN GLASS HANGING T-LIGHT,449.0,24.0,22433.0,1.9621553118035224
RETRO LONGBOARD IRONING BOARD COVER,4.0,1.0,199.0,1.9607843137254901
WOODEN TREE CHRISTMAS SCANDINAVIAN,96.0,1.0,4808.0,1.9571865443425076
JUMBO BAG PEARS,134.0,6.0,6733.0,1.9510774606872454
"FEATHER PEN,HOT PINK",72.0,1.0,3621.0,1.949106659447753
VINTAGE CREAM CAT FOOD CONTAINER,14.0,9.0,704.0,1.9471488178025034
S/4 PINK FLOWER CANDLES IN BOWL,16.0,7.0,807.0,1.9417475728155338
FRENCH FLORAL CUSHION COVER ,12.0,1.0,605.0,1.9417475728155338
TOTE BAG I LOVE LONDON,24.0,2.0,1212.0,1.9401778496362168
LUNCH BAG CARS BLUE,214.0,23.0,10820.0,1.9392840960579971
CHRISTMAS DECOUPAGE CANDLE,36.0,1.0,1821.0,1.9375672766415502
RED RETROSPOT APRON ,6.0,5.0,303.0,1.935483870967742
FELTCRAFT BOY JEAN-PAUL KIT,7.0,2.0,354.0,1.9337016574585635
SET 10 LIGHTS NIGHT OWL,8.0,5.0,407.0,1.9230769230769231
LARGE ANTIQUE WHITE PHOTO FRAME,10.0,9.0,509.0,1.9230769230769231
REGENCY TEAPOT ROSES ,52.0,13.0,2666.0,1.9124678190511217
CHERUB HEART DECORATION GOLD,14.0,2.0,719.0,1.9073569482288828
TEA TIME TEA SET IN GIFT BOX,2.0,1.0,102.0,1.9047619047619049
HANGING CHICK CREAM DECORATION,24.0,1.0,1243.0,1.8927444794952681
GRASS HOPPER WOODEN WALL CLOCK ,5.0,3.0,260.0,1.8796992481203008
I CAN ONLY PLEASE ONE PERSON MUG,26.0,3.0,1357.0,1.8786127167630058
FRENCH BLUE METAL DOOR SIGN 6,12.0,3.0,627.0,1.875
YULETIDE IMAGES GIFT WRAP SET,12.0,1.0,630.0,1.8662519440124419
GUMBALL COAT RACK,146.0,29.0,7688.0,1.8634333120612634
SET 3 SONG BIRD PAPER EGGS ASSORTED,22.0,4.0,1161.0,1.8581081081081081
MINT KITCHEN SCALES,15.0,13.0,792.0,1.8564356435643563
SET OF 4 KNICK KNACK TINS LEAF,14.0,8.0,740.0,1.8543046357615895
MR ROBOT SOFT TOY,4.0,1.0,211.0,1.8518518518518516
NUMBER TILE COTTAGE GARDEN No,1.0,1.0,52.0,1.8518518518518516
DRAWER KNOB VINTAGE GLASS BALL,6.0,1.0,317.0,1.8518518518518516
BLACK BIRD GARDEN DESIGN MUG,2.0,1.0,105.0,1.8518518518518516
TREASURE TIN BUFFALO BILL ,27.0,3.0,1436.0,1.8442622950819672
CACTI T-LIGHT CANDLES,98.0,4.0,5217.0,1.8434913468773513
SKETCHBOOK MAGNETIC SHOPPING LIST,25.0,7.0,1332.0,1.8409425625920472
12 PENCILS SMALL TUBE RED RETROSPOT,120.0,4.0,6400.0,1.84020855696979
SOAP DISH BROCANTE,13.0,2.0,693.0,1.8387553041018387
BLUE GIANT GARDEN THERMOMETER,8.0,5.0,427.0,1.834862385321101
WOODLAND STORAGE BOX SMALL,4.0,3.0,213.0,1.834862385321101
TOY TIDY DOLLY GIRL DESIGN,12.0,3.0,642.0,1.8320610687022902
LIGHT GARLAND BUTTERFILES PINK,25.0,8.0,1340.0,1.8301610541727673
3 ROSE MORRIS BOXED CANDLES,20.0,5.0,1072.0,1.8298261665141813
12 PINK ROSE PEG PLACE SETTINGS,4.0,1.0,214.0,1.82648401826484
FAIRY TALE COTTAGE NIGHT LIGHT,17.0,1.0,913.0,1.8259935553168638
WHITE GOOSE FEATHER CHRISTMAS TREE ,5.0,3.0,268.0,1.824817518248175
WALL ART BUFFALO BILL ,6.0,1.0,322.0,1.82370820668693
PICTURE FRAME WOOD TRIPLE PORTRAIT,19.0,5.0,1023.0,1.821668264621285
PARTY PIZZA DISH BLUE POLKADOT,18.0,1.0,972.0,1.8163471241170535
ASSORTED CREEPY CRAWLIES,48.0,2.0,2599.0,1.812688821752266
CHILDREN'S CIRCUS PARADE MUG,22.0,5.0,1192.0,1.8106995884773662
ASSORTED BOTTLE TOP  MAGNETS ,54.0,3.0,2928.0,1.8102581293999327
3D SHEET OF CAT STICKERS,4.0,1.0,216.0,1.809954751131222
CITRONELLA CANDLE GARDEN POT,20.0,5.0,1085.0,1.8083182640144666
BLACK AND WHITE DOG BOWL,22.0,4.0,1194.0,1.80772391125719
GLASS JAR KINGS CHOICE,3.0,2.0,162.0,1.8072289156626504
FRENCH BLUE METAL DOOR SIGN 0,10.0,1.0,543.0,1.8050541516245486
FRYING PAN BLUE POLKADOT,2.0,2.0,108.0,1.8018018018018018
MINI CAKE STAND  HANGING STRAWBERY,23.0,7.0,1253.0,1.8010963194988252
STORAGE TIN VINTAGE LEAF,14.0,7.0,765.0,1.7948717948717947
KIDS RAIN MAC BLUE,22.0,3.0,1203.0,1.794453507340946
SET/5 RED RETROSPOT LID GLASS BOWLS,107.0,34.0,5882.0,1.7863105175292153
EASTER BUNNY HANGING GARLAND,1.0,1.0,54.0,1.7857142857142856
FLOOR CUSHION ELEPHANT CARNIVAL,1.0,1.0,54.0,1.7857142857142856
CHRISTMAS RETROSPOT STAR WOOD,28.0,3.0,1540.0,1.7845761631612493
RED 3 PIECE RETROSPOT CUTLERY SET,28.0,2.0,1543.0,1.7811704834605597
FRENCH ENAMEL CANDLEHOLDER,28.0,14.0,1549.0,1.7743979721166032
ZINC  HEART T-LIGHT HOLDER,15.0,1.0,830.0,1.773049645390071
RECIPE BOX BLUE SKETCHBOOK DESIGN,22.0,9.0,1219.0,1.7713365539452495
PINK 3 PIECE POLKADOT CUTLERY SET,25.0,2.0,1392.0,1.7630465444287728
WALL ART 70'S ALPHABET ,6.0,3.0,334.0,1.7595307917888565
HEART SHAPE WIRELESS DOORBELL,8.0,3.0,446.0,1.7582417582417582
3 TIER SWEETHEART GARDEN SHELF,1.0,1.0,55.0,1.7543859649122806
BLACK KITCHEN SCALES,9.0,4.0,504.0,1.7509727626459144
FRENCH BLUE METAL DOOR SIGN 7,11.0,2.0,618.0,1.746031746031746
KINGS CHOICE GIANT TUBE MATCHES,13.0,2.0,731.0,1.74496644295302
RED DINER WALL CLOCK,24.0,9.0,1352.0,1.7429193899782136
FIVE HEART HANGING DECORATION,7.0,2.0,396.0,1.7326732673267329
NUMBER TILE COTTAGE GARDEN 9,1.0,1.0,56.0,1.7241379310344827
WALL ART VILLAGE SHOW ,4.0,1.0,227.0,1.7241379310344827
SMALL WHITE/PINK ROSE ART FLOWER,2.0,1.0,113.0,1.7241379310344827
RED RETROSPOT CHILDRENS UMBRELLA,20.0,6.0,1140.0,1.7226528854435832
PARTY BUNTING,268.0,19.0,15295.0,1.7219223849910048
KINGS CHOICE TEA CADDY ,8.0,4.0,456.0,1.7204301075268817
RIBBON REEL HEARTS DESIGN ,30.0,3.0,1715.0,1.718213058419244
ORANGE SCENTED SET/9 T-LIGHTS,10.0,1.0,573.0,1.7123287671232876
VINTAGE RED MUG,12.0,1.0,688.0,1.7118402282453637
RED RETROSPOT CHARLOTTE BAG,223.0,16.0,12809.0,1.7110412030998234
BOX OF VINTAGE JIGSAW BLOCKS ,16.0,5.0,920.0,1.7075773745997866
JIGSAW TREE WITH WATERING CAN,16.0,4.0,926.0,1.6967126193001063
PACK OF 12 VINTAGE DOILY TISSUES,36.0,2.0,2087.0,1.694915254237288
BLUE SPOT CERAMIC DRAWER KNOB,69.0,7.0,4004.0,1.6936671575846833
IVORY WIRE KITCHEN ORGANISER,2.0,2.0,116.0,1.680672268907563
SET/3 DECOUPAGE STACKING TINS,3.0,1.0,175.0,1.675977653631285
DOORMAT RED RETROSPOT,66.0,7.0,3901.0,1.663306451612903
PSYCHEDELIC TILE HOOK,5.0,1.0,295.0,1.6611295681063125
LARGE MEDINA STAMPED METAL BOWL ,3.0,1.0,177.0,1.6574585635359116
MOODY GIRL DOOR HANGER ,24.0,1.0,1427.0,1.6528925619834711
RIBBON REEL FLORA + FAUNA ,10.0,1.0,595.0,1.65016501650165
EMBROIDERED RIBBON REEL RACHEL ,6.0,1.0,358.0,1.643835616438356
CHARLOTTE BAG SUKI DESIGN,150.0,12.0,8975.0,1.6436554898093358
DINOSAUR KEYRINGS ASSORTED,108.0,1.0,6462.0,1.64358545122508
PACK OF 6 LARGE FRUIT STRAWS ,36.0,2.0,2156.0,1.6415868673050615
BULL DOG BOTTLE OPENER,13.0,4.0,778.0,1.6414141414141417
RED STRIPE CERAMIC DRAWER KNOB,84.0,10.0,5035.0,1.640625
SANDALWOOD FAN,26.0,3.0,1559.0,1.639344262295082
ENAMEL WASH BOWL CREAM,11.0,3.0,660.0,1.636904761904762
MULTICOLOUR HONEYCOMB FAN,19.0,5.0,1142.0,1.6351118760757317
CERAMIC LOVE HEART MONEY BANK,12.0,1.0,721.0,1.6348773841961852
CHOCOLATE 1 WICK MORRIS BOX CANDLE,6.0,1.0,360.0,1.6348773841961852
SWEETHEART WIRE MAGAZINE RACK,5.0,4.0,300.0,1.6339869281045754
DOLLY GIRL BABY GIFT SET,7.0,4.0,421.0,1.6317016317016315
60 CAKE CASES DOLLY GIRL DESIGN,120.0,5.0,7247.0,1.6286644951140066
PAINTED METAL STAR WITH HOLLY BELLS,24.0,1.0,1450.0,1.6271186440677967
HOUSE SHAPE PENCIL SHARPENER,48.0,1.0,2915.0,1.6194331983805668
SET OF 2 ROUND TINS DUTCH CHEESE,4.0,1.0,243.0,1.6129032258064515
SILK PURSE BABUSHKA PINK,6.0,1.0,365.0,1.6129032258064515
HI TEC ALPINE HAND WARMER,12.0,1.0,732.0,1.6107382550335572
WOODEN OWLS LIGHT GARLAND ,25.0,6.0,1535.0,1.6015374759769379
REGENCY TEA PLATE GREEN ,97.0,5.0,5966.0,1.599604221635884
RED KITCHEN SCALES,24.0,18.0,1478.0,1.5968063872255487
RETRO MOD TRAY,12.0,3.0,739.0,1.5957446808510638
DRAWER KNOB CRACKLE GLAZE PINK,20.0,9.0,1234.0,1.593625498007968
FELTCRAFT GIRL AMELIE KIT,16.0,6.0,987.0,1.593625498007968
HAND WARMER SCOTTY DOG DESIGN,99.0,4.0,6118.0,1.5921518173045996
FOUR HOOK  WHITE LOVEBIRDS,23.0,7.0,1422.0,1.590594744121715
BLACK SMALL GLASS CAKE STAND,1.0,1.0,61.0,1.5873015873015872
CHRISTMAS MUSICAL ZINC STAR,24.0,1.0,1489.0,1.5852047556142668
BLUE STRIPE CERAMIC DRAWER KNOB,80.0,10.0,4969.0,1.5841584158415842
ZINC SWEETHEART WIRE LETTER RACK,4.0,1.0,248.0,1.5810276679841897
LUNCH BAG SPACEBOY DESIGN ,159.0,13.0,9912.0,1.5786338363780776
CAKE STAND LOVEBIRD 2 TIER PINK,2.0,2.0,124.0,1.574803149606299
JAM CLOCK MAGNET,5.0,3.0,312.0,1.5723270440251573
HANGING HEART JAR T-LIGHT HOLDER,175.0,30.0,10980.0,1.5686626030835427
MAGNETS PACK OF 4 CHILDHOOD MEMORY,18.0,2.0,1130.0,1.5665796344647518
SET OF 16 VINTAGE RED CUTLERY,1.0,1.0,62.0,1.5625
PINK POLKADOT CHILDRENS UMBRELLA,2.0,2.0,125.0,1.5625
FRENCH STYLE STORAGE JAR BONBONS,37.0,4.0,2338.0,1.5572390572390573
ALARM CLOCK BAKELIKE IVORY,43.0,12.0,2728.0,1.5512265512265513
SET OF 3 GOLD FLYING DUCKS,2.0,1.0,126.0,1.550387596899225
HEART CALCULATOR,16.0,3.0,1017.0,1.5473887814313347
ZINC FOLKART SLEIGH BELLS,73.0,6.0,4647.0,1.5462825672527007
HEARTS  STICKERS,12.0,1.0,766.0,1.540436456996149
AIRLINE BAG VINTAGE TOKYO 78,13.0,9.0,830.0,1.5402843601895735
RELAX LARGE WOOD LETTERS,2.0,2.0,127.0,1.5384615384615385
FRENCH GARDEN SIGN BLUE METAL,12.0,1.0,772.0,1.5286624203821657
CHOCOLATE HOT WATER BOTTLE,80.0,7.0,5160.0,1.5264262545315779
RETROSPOT PARTY BAG + STICKER SET,68.0,11.0,4391.0,1.5246636771300448
SWEETHEART RECIPE BOOK STAND,17.0,3.0,1099.0,1.521933751119069
CHRISTMAS TREE HANGING GOLD,12.0,1.0,776.0,1.520912547528517
6 EGG HOUSE PAINTED WOOD,4.0,2.0,258.0,1.520912547528517
FRENCH BLUE METAL DOOR SIGN 4,10.0,1.0,647.0,1.5197568389057752
CHOC TRUFFLE GOLD TRINKET POT ,6.0,3.0,389.0,1.5151515151515151
APOTHECARY MEASURING JAR,1.0,1.0,64.0,1.5151515151515151
CARD CAT AND TREE ,24.0,2.0,1560.0,1.5141955835962144
SET OF 3 REGENCY CAKE TINS,90.0,37.0,5856.0,1.5133680847486128
HOME SWEET HOME HOOK,5.0,1.0,326.0,1.5060240963855422
FELTCRAFT CHRISTMAS FAIRY,29.0,4.0,1896.0,1.505711318795431
DANISH ROSE TRINKET TRAYS,4.0,1.0,261.0,1.5037593984962405
SILVER GLASS T-LIGHT SET,3.0,1.0,196.0,1.5
IVORY PILLAR CANDLE SILVER FLOCK,6.0,1.0,394.0,1.4962593516209477
SET/3 RED GINGHAM ROSE STORAGE BOX,41.0,12.0,2704.0,1.4930808448652586
HAND WARMER OWL DESIGN,123.0,11.0,8115.0,1.4928996237407453
SWEET PUDDING STICKER SHEET,1.0,1.0,65.0,1.4925373134328357
GLASS CLOCHE LARGE,5.0,4.0,329.0,1.4925373134328357
TEA PARTY  WRAPPING PAPER ,34.0,2.0,2250.0,1.487964989059081
TRAVEL CARD WALLET KEEP CALM,177.0,11.0,11769.0,1.4815434837197623
TEA TIME OVEN GLOVE,30.0,2.0,2004.0,1.4742014742014742
SILVER MUG BONE CHINA TREE OF LIFE,17.0,4.0,1138.0,1.4705882352941175
RED RETROSPOT PICNIC BAG,56.0,12.0,3758.0,1.4678899082568808
JUMBO BAG STRAWBERRY,250.0,13.0,16807.0,1.465587993903154
SET 3 PAPER VINTAGE CHICK PAPER EGG,26.0,4.0,1749.0,1.4639639639639639
UNION STRIPE CUSHION COVER ,6.0,4.0,403.0,1.4634146341463417
LUNCH BAG PINK POLKADOT,152.0,20.0,10254.0,1.4605553954069377
THREE MINI HANGING FRAMES,2.0,1.0,134.0,1.4598540145985401
EGG FRYING PAN RED ,6.0,1.0,405.0,1.4563106796116505
FLOWER VINE RAFFIA FOOD COVER,5.0,2.0,338.0,1.4534883720930232
GARDENERS KNEELING PAD KEEP CALM ,114.0,11.0,7740.0,1.451304901336728
PACK OF 12 RED RETROSPOT TISSUES ,96.0,2.0,6523.0,1.4501510574018126
BLACK SWEETHEART BRACELET,1.0,1.0,67.0,1.4492753623188406
MINI WOODEN HAPPY BIRTHDAY GARLAND,25.0,2.0,1699.0,1.4492753623188406
SET OF 4 ENGLISH ROSE PLACEMATS,9.0,3.0,612.0,1.4469453376205788
SET OF 5 MINI GROCERY MAGNETS,24.0,2.0,1638.0,1.4431749849669273
FRENCH BLUE METAL DOOR SIGN 3,11.0,2.0,751.0,1.4416775884665793
MEDIUM PARLOUR PICTURE FRAME ,2.0,1.0,136.0,1.4388489208633095
WOOD STAMP SET HAPPY BIRTHDAY,12.0,1.0,825.0,1.431980906921241
BAG 500g SWIRLY MARBLES,20.0,3.0,1377.0,1.4306151645207439
DOORSTOP RETROSPOT HEART,22.0,4.0,1516.0,1.4294996751137101
CAKE STAND VICTORIAN FILIGREE SMALL,3.0,2.0,206.0,1.4285714285714286
RED RETROSPOT CUP,51.0,9.0,3519.0,1.4281713805656677
HEN HOUSE DECORATION,13.0,2.0,901.0,1.4207650273224044
SPOTTY BUNTING,110.0,12.0,7639.0,1.4193548387096775
GIFT BAG PSYCHEDELIC APPLES,12.0,1.0,834.0,1.4167650531286895
6 GIFT TAGS 50'S CHRISTMAS ,48.0,2.0,3346.0,1.4138438880706923
MINI CAKE STAND T-LIGHT HOLDER,21.0,5.0,1464.0,1.4131897711978465
EGG CUP MILKMAID HELGA ,5.0,2.0,348.0,1.4124293785310735
JUMBO BAG SPACEBOY DESIGN,118.0,4.0,8248.0,1.4103023783912991
NUMBER TILE COTTAGE GARDEN 1,1.0,1.0,69.0,1.4084507042253522
TRAVEL CARD WALLET RETROSPOT,30.0,6.0,2107.0,1.4031805425631432
CHILDS GARDEN FORK PINK,12.0,1.0,844.0,1.4002333722287048
ALARM CLOCK BAKELIKE ORANGE,31.0,17.0,2182.0,1.4001806684733513
3 GARDENIA MORRIS BOXED CANDLES,7.0,3.0,492.0,1.4000000000000001
BAKING SET 9 PIECE RETROSPOT ,68.0,27.0,4797.0,1.3974517057131115
BAKING MOULD CHOCOLATE CUPCAKES,13.0,2.0,917.0,1.3963480128893664
DOG BOWL VINTAGE CREAM,5.0,2.0,354.0,1.3888888888888888
SET/6 PINK BIRD T-LIGHT CANDLES,5.0,2.0,355.0,1.3850415512465373
LARGE HANGING IVORY & RED WOOD BIRD,13.0,2.0,925.0,1.384451544195953
KINGS CHOICE MUG,28.0,5.0,2000.0,1.3799901429275505
S/4 GROOVY CAT MAGNETS,2.0,1.0,142.0,1.3793103448275863
LUNCH BAG SUKI DESIGN ,134.0,17.0,9601.0,1.3763352506162694
CAT BOWL VINTAGE CREAM,6.0,1.0,431.0,1.36986301369863
WOODEN STAR CHRISTMAS SCANDINAVIAN,133.0,3.0,9630.0,1.3621466612044244
POPCORN HOLDER,427.0,36.0,30931.0,1.3616505628368252
RED HEARTS LIGHT CHAIN ,6.0,1.0,434.0,1.3605442176870748
FOOT STOOL HOME SWEET HOME ,6.0,5.0,434.0,1.3605442176870748
ENAMEL COLANDER CREAM,6.0,3.0,434.0,1.3605442176870748
CINAMMON SET OF 9 T-LIGHTS,11.0,1.0,798.0,1.3580246913580247
MAGIC DRAWING SLATE BAKE A CAKE ,24.0,1.0,1745.0,1.3559322033898304
HANGING METAL STAR LANTERN,27.0,7.0,1965.0,1.3547415955845459
PANTRY APPLE CORER,6.0,2.0,436.0,1.3544018058690745
CERAMIC STRAWBERRY DESIGN MUG,24.0,8.0,1749.0,1.3528748590755355
SINGLE WIRE HOOK IVORY HEART,12.0,1.0,875.0,1.3513513513513513
GREEN METAL BOX ARMY SUPPLIES,6.0,3.0,438.0,1.348314606741573
MUSICAL ZINC HEART DECORATION ,34.0,2.0,2499.0,1.3417521704814523
CHRISTMAS TREE PAINTED ZINC ,31.0,2.0,2283.0,1.3390928725701945
RED TOADSTOOL LED NIGHT LIGHT,174.0,11.0,12871.0,1.3337421431856507
ENAMEL FIRE BUCKET CREAM,3.0,2.0,221.0,1.3333333333333335
LE GRAND TRAY CHIC SET,2.0,2.0,147.0,1.3333333333333335
TEA TIME KITCHEN APRON,8.0,5.0,592.0,1.3311148086522462
ZINC  STAR T-LIGHT HOLDER ,16.0,1.0,1186.0,1.3300083125519535
BAKING SET SPACEBOY DESIGN,29.0,15.0,2153.0,1.3284470911589554
SCANDINAVIAN PAISLEY PICNIC BAG,33.0,3.0,2467.0,1.319472211115554
 SPACEBOY BABY GIFT SET,6.0,3.0,450.0,1.312910284463895
36 DOILIES DOLLY GIRL,12.0,1.0,905.0,1.3071895424836601
BOX OF 9 PEBBLE CANDLES,6.0,1.0,453.0,1.3043478260869565
ROUND SNACK BOXES SET OF 4 SKULLS,11.0,5.0,832.0,1.3033175355450237
SILVER PHOTO FRAME,1.0,1.0,75.0,1.2987012987012987
WRAP GREEN PEARS ,25.0,1.0,1900.0,1.2980269989615785
CHILDRENS DOLLY GIRL MUG,20.0,7.0,1523.0,1.2953367875647668
EMBROIDERED RIBBON REEL SALLY ,6.0,1.0,458.0,1.2903225806451613
ASS FLORAL PRINT MULTI SCREWDRIVER,36.0,2.0,2754.0,1.2898602651379434
SLEEPING CAT ERASERS,60.0,1.0,4598.0,1.28783000643915
3D CHRISTMAS STAMPS STICKERS ,14.0,1.0,1075.0,1.2844036697247707
RED RETROSPOT SMALL MILK JUG,32.0,16.0,2460.0,1.2835940633774567
EDWARDIAN PARASOL PINK,10.0,4.0,769.0,1.282051282051282
CHILDS GARDEN FORK BLUE ,12.0,1.0,923.0,1.282051282051282
GROW YOUR OWN HERBS SET OF 3,2.0,2.0,153.0,1.282051282051282
SET OF 2 WOODEN MARKET CRATES,6.0,4.0,462.0,1.279317697228145
PINK ENAMEL+GLASS HAIR COMB,3.0,1.0,231.0,1.276595744680851
WHITE SPOT RED CERAMIC DRAWER KNOB,59.0,7.0,4564.0,1.2759515570934254
DOORMAT VINTAGE LEAF,7.0,2.0,541.0,1.2750455373406193
PEG BAG APPLES DESIGN,18.0,2.0,1398.0,1.2702893436838392
RETROSPOT CHILDRENS APRON,39.0,8.0,3039.0,1.2666450146151347
RED LOVE HEART SHAPE CUP,12.0,1.0,935.0,1.2658227848101267
IVORY SWEETHEART WIRE LETTER RACK ,7.0,3.0,545.0,1.2658227848101267
TRAVEL CARD WALLET TRANSPORT,39.0,4.0,3044.0,1.264591439688716
ZINC HERB GARDEN CONTAINER,7.0,4.0,546.0,1.263537906137184
PHOTO FRAME CORNICE,41.0,15.0,3206.0,1.2623152709359606
SET OF 4 KNICK KNACK TINS DOILEY ,23.0,7.0,1803.0,1.258894362342638
SAVE THE PLANET COTTON TOTE BAG,7.0,2.0,549.0,1.2567324955116697
SOLDIERS EGG CUP ,112.0,8.0,8821.0,1.2536377882247594
